keyword	avg_score
顺宝行	0.005632790309997897
酷乐盈	0.01320379227399826
五角场	0.025225627701729536
引籽	5.0000002374872565E-5
新安德鲁森	8.92860465683043E-4
恩华	0.05232315510511398
盟迪奥	1.0000000474974513E-4
平通	0.003260212717577815
聚电	0.014148657860156769
帝驿	0.012176747433841228
中甲天	0.03249591961503029
怀思	5.0000002374872565E-5
逸隆新	0.0074548558332026005
川山甲	0.03892963379621506
常青	0.053951844573020935
快报	0.05137407220900059
建翔	0.002355149481445551
恒标斯瑞	0.008224808610975742
德森	0.06611436605453491
众天信	6.500000017695129E-4
艾克仕	0.008991013281047344
恩博	0.0053266300819814205
库豆	0.003569766879081726
总备	0.02418547309935093
欢乐学	0.04627068340778351
巴龙	0.022545648457404848
泰翔天征	5.0000002374872565E-5
老老	0.006487173028290272
美路	0.0061057317070662975
得泰	0.047431450337171555
彩特	0.007098296657204628
异维	0.0028424630872905254
国电西高	0.011252908036112785
腾创	0.04849353805184364
胜方	0.0077777331074078875
快拍	0.016071906313300133
联恒智达	5.0000002374872565E-5
幸运	0.06898438930511475
罗钾	0.00427843164652586
帝高	5.0000002374872565E-5
怡展	1.500000071246177E-4
优多丰	1.0000000474974513E-4
开网	0.032229162752628326
乐之语	1.0000000474974513E-4
怀恩	2.0000000949949026E-4
波士胶	0.03151494637131691
佰测量	3.5087342257611454E-4
欢乐宝	0.06554477661848068
快拼	0.015743857249617577
番禺胜	0.0029704971238970757
易可思复高	0.013553031720221043
息化	0.006644003093242645
强智互娱	1.0000000474974513E-4
翼能	0.01809496432542801
徐港	0.007046817569062114
建富家	0.0021364379208534956
建联	0.00971826893510297
胜日	0.06617558747529984
企智软创	0.016957730054855347
凝易固	7.4232422048226E-4
群诚	1.500000071246177E-4
胜易	0.01368180476129055
欣亚中	1.0000000474974513E-4
永洁达	0.011140640825033188
志新	0.01821494847536087
联百	0.00996289845352294
裕龙润邦	0.004761149175465107
御水	0.009886419400572777
力之源	0.012585213407874107
葆威道	0.0011611091904342175
忆柏	0.0026559492107480764
广轩	5.0000002374872565E-5
弃置	5.0000002374872565E-5
腾力	5.0000002374872565E-5
广轻	0.004982615355402231
网间	0.007931885309517384
胜星	0.00724629987720012
开翔	0.014756543561816216
广软	0.022784247994422913
老肯	0.036794696003198624
快捷	0.16516871750354767
恒图	0.0433407761156559
得润	0.0720832496881485
联盈	0.0670372024178505
联益	0.08053022623062134
新奥特云视	0.019211525097489357
耀能	0.03333333507180214
康裕	0.04163866862654686
思科瑞	0.00886376854032278
腾加	0.019690975546836853
网阔	0.0567043274641037
恒力泰	0.012266830541193485
鑫风尚	0.007205982226878405
龙星行	0.02940461039543152
胜景	0.005996830026560929
网际	0.039453989982384405
库贴	0.02314075641334057
胜智	3.000000142492354E-4
握奇信安	0.2582286596298218
翰英	0.004931528208544478
恒地	0.056623902171850204
翼腾	0.006232905201613903
广达	0.06584791839122772
鲜芋仙	0.04181103780865669
联盛	0.057770561426877975
府谷	0.001186778536066413
联盟	0.07547835260629654
志明	1.0000000474974513E-4
时装设计	0.0058577956321338815
与社会	0.04052966088056564
理研维他	0.0012817553943023086
影特	0.007070404011756182
能投	0.012710503302514553
凯蒙德	0.011463913135230541
广迅	0.011262794956564903
恒圳	5.0000002374872565E-5
广进	0.06306582689285278
广远	0.008058147960885739
澳昱冠	5.0000002374872565E-5
翔虹	0.006665279623121023
联盾	0.0031855041161179543
广运	0.049851305037736895
优尼派特	0.0014303104690043256
广迪	5.834830226376653E-4
金新农	0.05058819055557251
建能	0.005724939052015543
建安成	0.001506275380961597
